Latitude (decimal degrees):	45.752
Longitude (decimal degrees):	4.949
Elevation (m):	195
Radiation database:	PVGIS-SARAH2


Slope: 37 deg. (optimum)
Azimuth: -2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190609:0110,0.0,0.0,0.0,13.71,1.38,0.0
20190609:0210,0.0,0.0,0.0,13.9,1.24,0.0
20190609:0310,0.0,0.0,0.0,14.25,1.03,0.0
20190609:0410,0.0,0.0,0.0,13.98,0.97,0.0
20190609:0510,3.36,12.88,11.47,14.14,0.83,0.0
20190609:0610,13.23,28.43,21.51,14.96,0.34,0.0
20190609:0710,32.93,55.03,31.9,16.05,0.14,0.0
20190609:0810,113.38,153.16,42.32,16.78,0.69,0.0
20190609:0910,40.05,64.2,52.3,16.64,0.48,0.0
20190609:1010,46.78,72.45,60.95,16.17,0.83,0.0
20190609:1110,77.64,110.05,66.45,16.1,0.55,0.0
20190609:1210,49.7,76.12,66.31,16.25,0.48,0.0
20190609:1310,56.26,84.37,60.62,16.91,0.9,0.0
20190609:1410,54.73,82.54,51.87,17.09,0.97,0.0
20190609:1510,55.44,83.46,41.86,17.25,1.03,0.0
20190609:1610,139.03,184.07,31.44,17.34,1.31,0.0
20190609:1710,29.2,50.44,21.06,17.38,0.83,0.0
20190609:1810,40.1,64.4,11.04,17.22,0.62,0.0
20190609:1910,0.0,0.0,0.0,16.3,2.34,0.0
20190609:2010,0.0,0.0,0.0,15.52,1.93,0.0
20190609:2110,0.0,0.0,0.0,14.93,1.59,0.0
20190609:2210,0.0,0.0,0.0,14.49,1.45,0.0
20190609:2310,0.0,0.0,0.0,14.21,1.38,0.0
20190610:0010,0.0,0.0,0.0,13.71,1.31,0.0
20190610:0110,0.0,0.0,0.0,13.63,1.24,0.0
20190610:0210,0.0,0.0,0.0,13.57,1.1,0.0
20190610:0310,0.0,0.0,0.0,13.58,1.1,0.0
20190610:0410,0.0,0.0,0.0,13.44,0.83,0.0
20190610:0510,25.24,44.65,11.5,13.97,0.55,0.0
20190610:0610,50.77,77.04,21.53,14.77,0.07,0.0
20190610:0710,55.26,82.54,31.92,15.24,1.17,0.0
20190610:0810,46.27,71.53,42.34,15.22,0.9,0.0
20190610:0910,46.19,71.53,52.32,15.57,0.97,0.0
20190610:1010,51.22,77.95,61.0,16.36,1.17,0.0
20190610:1110,82.7,116.47,66.52,17.26,1.45,0.0
20190610:1210,65.66,96.3,66.4,18.37,1.79,0.0
20190610:1310,59.37,88.96,60.71,19.27,1.52,0.0
20190610:1410,90.03,126.56,51.96,19.74,1.59,0.0
20190610:1510,31.16,53.19,41.95,18.87,3.66,0.0
20190610:1610,21.06,39.44,31.52,16.53,3.72,0.0
20190610:1710,10.66,24.76,21.14,16.13,2.9,0.0
20190610:1810,1.98,10.3,11.13,15.93,2.83,0.0
20190610:1910,0.0,0.0,0.0,14.61,1.66,0.0
20190610:2010,0.0,0.0,0.0,13.82,1.66,0.0
20190610:2110,0.0,0.0,0.0,13.06,1.38,0.0
20190610:2210,0.0,0.0,0.0,12.71,1.24,0.0
20190610:2310,0.0,0.0,0.0,12.43,1.1,0.0
20190611:0010,0.0,0.0,0.0,12.36,0.97,0.0
20190611:0110,0.0,0.0,0.0,12.5,0.97,0.0
20190611:0210,0.0,0.0,0.0,12.42,1.17,0.0
20190611:0310,0.0,0.0,0.0,12.33,1.24,0.0
20190611:0410,0.0,0.0,0.0,12.07,1.03,0.0
20190611:0510,15.22,30.91,11.52,12.11,1.38,0.0
20190611:0610,45.6,69.7,21.55,11.87,1.66,0.0
20190611:0710,52.87,78.87,31.93,12.86,1.1,0.0
20190611:0810,68.78,98.13,42.35,13.29,1.03,0.0
20190611:0910,121.99,160.49,52.34,12.83,1.03,0.0
20190611:1010,128.17,167.83,61.03,13.28,1.45,0.0
20190611:1110,116.26,154.07,66.58,13.68,1.72,0.0
20190611:1210,131.37,172.42,66.48,14.85,2.14,0.0
20190611:1310,108.25,145.82,60.79,15.59,1.93,0.0
20190611:1410,88.55,122.89,52.04,16.31,1.93,0.0
20190611:1510,43.79,68.78,42.03,16.64,1.86,0.0
20190611:1610,35.82,58.69,31.6,16.3,1.31,0.0
20190611:1710,88.93,124.06,21.22,15.39,0.76,0.0
20190611:1810,2.43,11.16,11.21,14.79,0.21,0.0
20190611:1910,0.0,0.0,0.0,14.41,1.1,0.0
20190611:2010,0.0,0.0,0.0,13.72,0.97,0.0
20190611:2110,0.0,0.0,0.0,13.38,0.83,0.0
20190611:2210,0.0,0.0,0.0,13.2,0.83,0.0
20190611:2310,0.0,0.0,0.0,13.27,0.69,0.0
20190612:0010,0.0,0.0,0.0,12.91,1.03,0.0
20190612:0110,0.0,0.0,0.0,12.72,1.31,0.0
20190612:0210,0.0,0.0,0.0,12.4,1.59,0.0
20190612:0310,0.0,0.0,0.0,11.77,1.72,0.0
20190612:0410,0.0,0.0,0.0,11.01,1.72,0.0
20190612:0510,37.27,59.25,11.53,10.81,1.38,0.0
20190612:0610,136.97,207.03,21.56,12.41,1.17,0.0
20190612:0710,347.41,437.9,31.94,13.47,1.72,0.0
20190612:0810,528.96,653.48,42.36,14.75,2.0,0.0
20190612:0910,669.14,840.21,52.36,16.16,2.28,0.0
20190612:1010,725.34,920.08,61.06,17.61,2.9,0.0
20190612:1110,775.35,994.22,66.63,18.85,3.17,0.0
20190612:1210,693.75,886.62,66.55,19.85,3.17,0.0
20190612:1310,678.76,870.41,60.87,20.67,2.9,0.0
20190612:1410,241.18,309.87,52.12,21.53,3.03,0.0
20190612:1510,290.1,369.77,42.11,21.82,3.17,0.0
20190612:1610,293.06,387.27,31.68,21.51,3.1,0.0
20190612:1710,111.87,174.79,21.3,20.95,2.28,0.0
20190612:1810,32.94,55.81,11.29,19.94,1.79,0.0
20190612:1910,0.0,0.0,0.0,18.9,0.9,0.0
20190612:2010,0.0,0.0,0.0,16.84,1.31,0.0
20190612:2110,0.0,0.0,0.0,14.58,1.72,0.0
20190612:2210,0.0,0.0,0.0,13.86,1.52,0.0
20190612:2310,0.0,0.0,0.0,14.26,1.1,0.0
20190613:0010,0.0,0.0,0.0,14.36,0.9,0.0
20190613:0110,0.0,0.0,0.0,12.96,1.1,0.0
20190613:0210,0.0,0.0,0.0,10.56,1.52,0.0
20190613:0310,0.0,0.0,0.0,9.68,1.59,0.0
20190613:0410,0.0,0.0,0.0,9.4,1.52,0.0
20190613:0510,30.44,50.66,11.54,10.45,1.1,0.0
20190613:0610,135.05,207.57,21.56,12.86,0.55,0.0
20190613:0710,335.6,432.81,31.95,16.15,0.48,0.0
20190613:0810,513.35,649.45,42.37,17.96,1.31,0.0
20190613:0910,655.17,839.6,52.37,19.29,1.93,0.0
20190613:1010,754.43,982.06,61.09,20.56,2.41,0.0
20190613:1110,792.66,1038.57,66.68,21.72,2.9,0.0
20190613:1210,794.01,1037.8,66.62,22.81,3.45,0.0
20190613:1310,738.97,958.07,60.95,23.68,3.72,0.0
20190613:1410,639.32,817.56,52.2,24.32,4.14,0.0
20190613:1510,485.21,618.15,42.18,24.66,4.28,0.0
20190613:1610,293.65,392.24,31.76,24.55,4.21,0.0
20190613:1710,97.03,170.51,21.38,23.95,3.38,0.0
20190613:1810,27.35,48.94,11.37,22.61,3.03,0.0
20190613:1910,0.0,0.0,0.0,20.55,2.62,0.0
20190613:2010,0.0,0.0,0.0,18.66,2.76,0.0
20190613:2110,0.0,0.0,0.0,17.2,2.69,0.0
20190613:2210,0.0,0.0,0.0,15.99,2.55,0.0
20190613:2310,0.0,0.0,0.0,15.28,2.41,0.0
20190614:0010,0.0,0.0,0.0,15.25,2.62,0.0
20190614:0110,0.0,0.0,0.0,15.21,2.62,0.0
20190614:0210,0.0,0.0,0.0,14.87,2.48,0.0
20190614:0310,0.0,0.0,0.0,14.57,2.48,0.0
20190614:0410,0.0,0.0,0.0,14.24,2.48,0.0
20190614:0510,2.89,12.02,11.55,14.4,2.14,0.0
20190614:0610,11.32,25.68,21.56,15.25,1.38,0.0
20190614:0710,37.41,60.53,31.94,15.34,0.55,0.0
20190614:0810,31.73,53.19,42.37,14.92,1.17,0.0
20190614:0910,40.28,64.2,52.38,15.68,0.9,0.0
20190614:1010,46.65,72.45,61.11,16.58,0.41,0.0
20190614:1110,119.63,160.49,66.72,16.82,0.97,0.0
20190614:1210,703.94,918.54,66.68,18.55,1.38,0.0
20190614:1310,457.24,581.05,61.02,20.58,2.07,0.0
20190614:1410,558.73,711.45,52.27,22.19,2.9,0.0
20190614:1510,407.24,516.96,42.25,22.67,3.24,0.0
20190614:1610,131.94,178.9,31.83,22.81,3.38,0.0
20190614:1710,87.31,125.35,21.45,22.24,2.83,0.0
20190614:1810,39.43,64.4,11.44,20.88,2.28,0.0
20190614:1910,0.0,0.0,0.0,18.98,2.34,0.0
20190614:2010,0.0,0.0,0.0,18.16,1.79,0.0
20190614:2110,0.0,0.0,0.0,17.56,1.66,0.0
20190614:2210,0.0,0.0,0.0,16.69,1.59,0.0
20190614:2310,0.0,0.0,0.0,16.29,1.17,0.0
20190615:0010,0.0,0.0,0.0,16.48,0.9,0.0
20190615:0110,0.0,0.0,0.0,16.38,1.03,0.0
20190615:0210,0.0,0.0,0.0,16.22,0.97,0.0
20190615:0310,0.0,0.0,0.0,16.23,0.9,0.0
20190615:0410,0.0,0.0,0.0,16.03,0.9,0.0
20190615:0510,28.25,48.94,11.55,15.99,0.76,0.0
20190615:0610,129.64,198.65,21.56,17.14,0.28,0.0
20190615:0710,144.03,190.21,31.94,17.38,0.97,0.0
20190615:0810,348.43,437.22,42.36,18.25,1.86,0.0
20190615:0910,555.38,700.65,52.38,19.42,2.48,0.0
20190615:1010,384.99,487.7,61.12,20.1,2.0,0.0
20190615:1110,419.45,535.01,66.75,20.69,1.72,0.0
20190615:1210,49.33,77.04,66.74,21.07,1.79,0.0
20190615:1310,45.74,72.45,61.08,20.97,2.07,0.0
20190615:1410,39.26,64.2,52.34,21.09,2.55,0.0
20190615:1510,422.07,530.32,42.32,19.46,2.48,0.0
20190615:1610,235.1,304.08,31.89,18.66,1.93,0.0
20190615:1710,116.29,172.26,21.51,18.37,1.52,0.0
20190615:1810,42.78,67.83,11.5,17.78,2.07,0.0
20190615:1910,0.0,0.0,0.0,16.59,1.03,0.0
20190615:2010,0.0,0.0,0.0,15.42,1.24,0.0
20190615:2110,0.0,0.0,0.0,14.39,1.31,0.0
20190615:2210,0.0,0.0,0.0,14.02,1.31,0.0
20190615:2310,0.0,0.0,0.0,13.36,1.38,0.0
20190616:0010,0.0,0.0,0.0,12.92,1.45,0.0
20190616:0110,0.0,0.0,0.0,12.38,1.52,0.0
20190616:0210,0.0,0.0,0.0,11.9,1.59,0.0
20190616:0310,0.0,0.0,0.0,11.6,1.59,0.0
20190616:0410,0.0,0.0,0.0,11.26,1.72,0.0
20190616:0510,32.95,54.09,11.54,11.92,1.79,0.0
20190616:0610,131.62,202.86,21.55,14.73,2.07,0.0
20190616:0710,334.43,422.65,31.93,15.86,3.1,0.0
20190616:0810,519.78,640.69,42.35,16.89,3.31,0.0
20190616:0910,662.83,825.45,52.37,18.16,3.79,0.0
20190616:1010,729.24,925.86,61.12,19.16,3.45,0.0
20190616:1110,760.94,977.71,66.78,19.96,3.31,0.0
20190616:1210,790.66,1022.47,66.79,20.88,3.38,0.0
20190616:1310,729.27,935.26,61.14,21.58,3.59,0.0
20190616:1410,637.23,807.85,52.4,22.0,3.72,0.0
20190616:1510,486.69,613.74,42.38,22.15,3.86,0.0
20190616:1610,291.07,383.28,31.95,22.02,3.86,0.0
20190616:1710,98.28,170.81,21.57,21.55,3.52,0.0
20190616:1810,28.93,50.66,11.56,20.61,3.17,0.0
20190616:1910,0.0,0.0,0.0,19.59,3.17,0.0
20190616:2010,0.0,0.0,0.0,18.28,2.97,0.0
20190616:2110,0.0,0.0,0.0,17.26,2.83,0.0
20190616:2210,0.0,0.0,0.0,16.37,2.69,0.0
20190616:2310,0.0,0.0,0.0,15.58,2.62,0.0
20190617:0010,0.0,0.0,0.0,14.7,2.41,0.0
20190617:0110,0.0,0.0,0.0,13.68,2.21,0.0
20190617:0210,0.0,0.0,0.0,12.76,2.0,0.0
20190617:0310,0.0,0.0,0.0,12.09,1.79,0.0
20190617:0410,0.0,0.0,0.0,11.56,1.72,0.0
20190617:0510,29.51,49.8,11.53,12.12,1.38,0.0
20190617:0610,131.34,204.24,21.53,15.06,1.17,0.0
20190617:0710,333.45,428.27,31.91,17.5,1.86,0.0
20190617:0810,510.32,644.93,42.34,19.02,1.79,0.0
20190617:0910,643.97,835.08,52.36,20.57,1.52,0.0
20190617:1010,729.97,973.47,61.12,22.03,1.38,0.0
20190617:1110,766.97,1036.52,66.8,23.26,1.52,0.0
20190617:1210,758.33,1030.68,66.83,24.28,1.45,0.0
20190617:1310,702.77,947.39,61.2,25.07,1.45,0.0
20190617:1410,610.07,809.92,52.45,25.58,1.45,0.0
20190617:1510,465.52,611.55,42.44,25.85,1.38,0.0
20190617:1610,288.97,393.44,32.01,25.89,1.52,0.0
20190617:1710,100.82,173.95,21.63,25.62,1.38,0.0
20190617:1810,26.34,48.08,11.62,24.83,0.83,0.0
20190617:1910,0.0,0.0,0.0,24.66,0.55,0.0
20190617:2010,0.0,0.0,0.0,23.89,0.62,0.0
20190617:2110,0.0,0.0,0.0,22.98,0.41,0.0
20190617:2210,0.0,0.0,0.0,22.1,0.62,0.0
20190617:2310,0.0,0.0,0.0,21.17,0.97,0.0
20190618:0010,0.0,0.0,0.0,19.54,1.17,0.0
20190618:0110,0.0,0.0,0.0,17.86,1.38,0.0
20190618:0210,0.0,0.0,0.0,17.16,1.24,0.0
20190618:0310,0.0,0.0,0.0,15.98,1.38,0.0
20190618:0410,0.0,0.0,0.0,15.1,1.45,0.0
20190618:0510,41.12,65.26,11.51,15.71,1.1,0.0
20190618:0610,130.4,198.63,21.52,18.1,0.83,0.0
20190618:0710,190.5,250.55,31.89,21.3,1.38,0.0
20190618:0810,361.37,463.49,42.32,23.16,2.07,0.0
20190618:0910,613.71,797.2,52.35,24.56,2.62,0.0
20190618:1010,415.07,536.54,61.12,25.75,3.03,0.0
20190618:1110,670.03,882.73,66.81,26.6,3.38,0.0
20190618:1210,732.57,972.13,66.87,27.61,3.72,0.0
20190618:1310,315.55,412.64,61.24,28.34,4.0,0.0
20190618:1410,408.58,531.74,52.51,28.78,4.07,0.0
20190618:1510,224.26,298.03,42.49,28.73,4.0,0.0
20190618:1610,269.9,365.17,32.06,28.2,3.38,0.0
20190618:1710,114.48,168.37,21.68,27.12,3.03,0.0
20190618:1810,36.52,61.82,11.67,25.77,3.03,0.0
20190618:1910,0.07,6.01,2.34,23.88,3.31,0.0
20190618:2010,0.0,0.0,0.0,22.53,3.66,0.0
20190618:2110,0.0,0.0,0.0,21.51,3.79,0.0
20190618:2210,0.0,0.0,0.0,20.47,3.72,0.0
20190618:2310,0.0,0.0,0.0,19.61,3.66,0.0
20190619:0010,0.0,0.0,0.0,18.83,3.52,0.0
20190619:0110,0.0,0.0,0.0,18.06,3.45,0.0
20190619:0210,0.0,0.0,0.0,17.57,3.38,0.0
20190619:0310,0.0,0.0,0.0,17.15,3.24,0.0
20190619:0410,0.0,0.0,0.0,16.89,3.1,0.0
20190619:0510,2.39,11.16,11.49,16.77,3.03,0.0
20190619:0610,129.1,181.34,21.49,18.23,3.1,0.0
20190619:0710,309.16,399.49,31.87,20.49,2.83,0.0
20190619:0810,501.27,632.11,42.3,22.35,3.79,0.0
20190619:0910,640.53,814.15,52.33,23.92,4.62,0.0
20190619:1010,689.82,887.12,61.11,25.29,5.03,0.0
20190619:1110,780.51,1016.69,66.82,26.39,5.24,0.0
20190619:1210,771.12,1006.88,66.9,27.13,5.31,0.0
20190619:1310,704.92,916.13,61.29,27.72,5.31,0.0
20190619:1410,620.02,801.0,52.55,28.15,5.1,0.0
20190619:1510,434.17,561.92,42.54,27.76,4.14,0.0
20190619:1610,65.95,99.96,32.11,26.67,2.62,0.0
20190619:1710,10.65,25.68,21.73,26.09,1.59,0.0
20190619:1810,7.0,19.75,11.72,24.86,1.52,0.0
20190619:1910,1.46,9.45,2.38,23.15,1.52,0.0
20190619:2010,0.0,0.0,0.0,21.53,1.38,0.0
20190619:2110,0.0,0.0,0.0,20.16,1.38,0.0
20190619:2210,0.0,0.0,0.0,18.86,1.52,0.0
20190619:2310,0.0,0.0,0.0,17.89,1.45,0.0
20190620:0010,0.0,0.0,0.0,17.64,1.45,0.0
20190620:0110,0.0,0.0,0.0,17.38,1.38,0.0
20190620:0210,0.0,0.0,0.0,17.48,1.24,0.0
20190620:0310,0.0,0.0,0.0,17.25,1.24,0.0
20190620:0410,0.0,0.0,0.0,16.68,1.31,0.0
20190620:0510,17.92,35.2,11.47,16.54,1.31,0.0
20190620:0610,80.91,115.73,21.46,18.94,1.24,0.0
20190620:0710,245.11,316.98,31.84,19.06,1.1,0.0
20190620:0810,466.51,597.94,42.27,20.4,0.97,0.0
20190620:0910,560.1,729.72,52.3,21.58,0.97,0.0
20190620:1010,591.41,783.66,61.09,22.74,0.83,0.0
20190620:1110,408.88,533.84,66.82,23.66,0.9,0.0
20190620:1210,471.8,619.83,66.92,24.29,1.03,0.0
20190620:1310,682.21,915.96,61.32,24.89,1.38,0.0
20190620:1410,354.13,462.18,52.59,24.41,0.9,0.0
20190620:1510,90.46,128.4,42.58,22.48,2.34,0.0
20190620:1610,90.22,127.48,32.16,21.33,2.34,0.0
20190620:1710,116.33,167.03,21.78,21.56,1.31,0.0
20190620:1810,12.11,27.48,11.76,21.62,0.9,0.0
20190620:1910,0.4,6.87,2.42,20.9,1.66,0.0
20190620:2010,0.0,0.0,0.0,19.86,1.38,0.0
20190620:2110,0.0,0.0,0.0,18.77,1.52,0.0
20190620:2210,0.0,0.0,0.0,18.16,1.79,0.0
20190620:2310,0.0,0.0,0.0,17.64,1.93,0.0
20190621:0010,0.0,0.0,0.0,17.32,2.07,0.0
20190621:0110,0.0,0.0,0.0,16.99,2.21,0.0
20190621:0210,0.0,0.0,0.0,16.7,2.21,0.0
20190621:0310,0.0,0.0,0.0,16.13,2.28,0.0
20190621:0410,0.0,0.0,0.0,15.87,2.41,0.0
20190621:0510,42.51,66.97,11.44,15.93,2.41,0.0
20190621:0610,125.58,175.48,21.43,16.78,2.69,0.0
20190621:0710,311.43,398.5,31.8,17.73,2.55,0.0
20190621:0810,432.89,540.21,42.23,18.75,2.69,0.0
20190621:0910,556.04,699.86,52.27,19.47,2.69,0.0
20190621:1010,262.65,334.71,61.07,20.13,2.55,0.0
20190621:1110,630.5,805.41,66.81,20.12,2.69,0.0
20190621:1210,405.46,513.06,66.93,20.56,2.55,0.0
20190621:1310,208.25,270.01,61.35,20.53,1.79,0.0
20190621:1410,62.58,93.54,52.63,21.07,2.07,0.0
20190621:1510,58.01,88.04,42.62,21.69,2.55,0.0
20190621:1610,214.8,280.69,32.2,21.32,2.55,0.0
20190621:1710,92.04,130.73,21.82,20.99,2.62,0.0
20190621:1810,2.33,11.16,11.8,20.32,2.28,0.0
20190621:1910,0.0,2.58,2.46,19.52,1.72,0.0
20190621:2010,0.0,0.0,0.0,18.71,1.66,0.0
20190621:2110,0.0,0.0,0.0,17.81,1.86,0.0
20190621:2210,0.0,0.0,0.0,17.42,1.79,0.0
20190621:2310,0.0,0.0,0.0,16.62,1.72,0.0
20190622:0010,0.0,0.0,0.0,16.1,1.59,0.0
20190622:0110,0.0,0.0,0.0,15.77,1.52,0.0
20190622:0210,0.0,0.0,0.0,15.76,1.59,0.0
20190622:0310,0.0,0.0,0.0,15.76,1.31,0.0
20190622:0410,0.0,0.0,0.0,15.99,1.03,0.0
20190622:0510,13.67,29.19,11.4,16.25,1.03,0.0
20190622:0610,113.19,156.65,21.39,16.94,1.24,0.0
20190622:0710,165.84,215.16,31.77,16.54,1.66,0.0
20190622:0810,224.15,285.51,42.2,17.47,1.45,0.0
20190622:0910,605.48,773.59,52.24,19.48,1.79,0.0
20190622:1010,586.85,753.5,61.04,20.68,2.07,0.0
20190622:1110,474.51,607.25,66.8,21.37,2.0,0.0
20190622:1210,446.15,571.51,66.94,22.11,2.14,0.0
20190622:1310,592.14,764.46,61.38,22.49,2.41,0.0
20190622:1410,295.72,379.44,52.66,22.65,2.48,0.0
20190622:1510,440.22,561.25,42.66,22.66,2.62,0.0
20190622:1610,271.09,357.48,32.23,22.55,2.41,0.0
20190622:1710,101.4,173.86,21.85,22.41,2.21,0.0
20190622:1810,29.99,52.38,11.83,21.94,1.79,0.0
20190622:1910,1.9,10.3,2.49,20.93,2.07,0.0
20190622:2010,0.0,0.0,0.0,19.41,1.86,0.0
20190622:2110,0.0,0.0,0.0,18.03,1.79,0.0
20190622:2210,0.0,0.0,0.0,16.57,1.72,0.0
20190622:2310,0.0,0.0,0.0,16.15,1.59,0.0
20190623:0010,0.0,0.0,0.0,16.34,1.38,0.0
20190623:0110,0.0,0.0,0.0,16.07,1.38,0.0
20190623:0210,0.0,0.0,0.0,16.12,1.17,0.0
20190623:0310,0.0,0.0,0.0,15.65,1.03,0.0
20190623:0410,0.0,0.0,0.0,14.69,1.24,0.0
20190623:0510,30.45,51.52,11.36,14.65,0.97,0.0
20190623:0610,125.37,195.93,21.35,16.52,0.28,0.0
20190623:0710,313.76,412.5,31.72,19.74,0.48,0.0
20190623:0810,484.8,626.23,42.15,21.27,0.83,0.0
20190623:0910,608.58,804.34,52.2,22.69,0.83,0.0
20190623:1010,687.14,930.2,61.0,24.11,0.9,0.0
20190623:1110,733.26,1007.98,66.78,25.39,1.03,0.0
20190623:1210,733.32,1009.07,66.95,26.51,1.24,0.0
20190623:1310,679.31,924.68,61.4,27.33,1.38,0.0
20190623:1410,587.53,788.3,52.69,27.93,1.38,0.0
20190623:1510,338.97,448.95,42.69,28.24,1.38,0.0
20190623:1610,203.29,276.11,32.27,28.26,1.52,0.0
20190623:1710,69.25,104.93,21.88,27.89,1.79,0.0
20190623:1810,35.7,60.96,11.86,26.42,1.79,0.0
20190623:1910,1.07,8.59,2.51,24.56,1.72,0.0
20190623:2010,0.0,0.0,0.0,22.65,1.52,0.0
20190623:2110,0.0,0.0,0.0,22.62,1.17,0.0
20190623:2210,0.0,0.0,0.0,22.9,0.97,0.0
20190623:2310,0.0,0.0,0.0,22.15,0.83,0.0
20190624:0010,0.0,0.0,0.0,20.14,1.24,0.0
20190624:0110,0.0,0.0,0.0,17.93,1.52,0.0
20190624:0210,0.0,0.0,0.0,16.85,1.59,0.0
20190624:0310,0.0,0.0,0.0,16.11,1.52,0.0
20190624:0410,0.0,0.0,0.0,15.66,1.45,0.0
20190624:0510,31.52,53.24,11.31,16.37,1.1,0.0
20190624:0610,123.0,194.78,21.31,19.21,0.9,0.0
20190624:0710,282.14,371.25,31.68,22.38,1.24,0.0
20190624:0810,471.36,611.24,42.11,24.59,1.79,0.0
20190624:0910,600.45,788.14,52.15,26.35,2.41,0.0
20190624:1010,701.57,936.71,60.96,27.79,2.83,0.0
20190624:1110,738.7,992.92,66.75,28.91,3.31,0.0
20190624:1210,534.35,704.99,66.94,29.75,3.72,0.0
20190624:1310,572.11,756.06,61.41,30.38,4.0,0.0
20190624:1410,515.65,678.37,52.71,30.9,4.14,0.0
20190624:1510,381.4,502.59,42.71,31.21,4.14,0.0
20190624:1610,234.42,319.22,32.29,31.2,3.86,0.0
20190624:1710,108.08,159.54,21.91,30.6,3.03,0.0
20190624:1810,38.42,65.26,11.89,29.21,2.69,0.0
20190624:1910,0.0,1.72,2.53,27.01,2.41,0.0
20190624:2010,0.0,0.0,0.0,24.92,2.55,0.0
20190624:2110,0.0,0.0,0.0,23.52,2.62,0.0
20190624:2210,0.0,0.0,0.0,22.69,2.69,0.0
20190624:2310,0.0,0.0,0.0,22.11,2.83,0.0
20190625:0010,0.0,0.0,0.0,21.63,2.83,0.0
20190625:0110,0.0,0.0,0.0,21.21,2.83,0.0
20190625:0210,0.0,0.0,0.0,20.69,2.69,0.0
20190625:0310,0.0,0.0,0.0,20.08,2.69,0.0
20190625:0410,0.0,0.0,0.0,19.64,2.83,0.0
20190625:0510,40.36,65.26,11.27,19.71,2.62,0.0
20190625:0610,124.27,191.05,21.26,21.26,2.21,0.0
20190625:0710,293.45,387.11,31.63,24.06,2.48,0.0
20190625:0810,473.23,609.13,42.06,25.71,3.17,0.0
20190625:0910,582.09,755.78,52.1,27.23,3.72,0.0
20190625:1010,579.74,760.54,60.92,28.69,3.86,0.0
20190625:1110,681.66,912.03,66.72,29.99,3.66,0.0
20190625:1210,712.61,965.17,66.93,31.08,3.38,0.0
20190625:1310,547.31,734.05,61.42,31.98,3.1,0.0
20190625:1410,509.81,683.13,52.73,32.79,3.03,0.0
20190625:1510,320.9,431.13,42.74,33.27,2.97,0.0
20190625:1610,237.08,327.76,32.31,33.33,2.83,0.0
20190625:1710,101.07,150.99,21.93,32.54,1.93,0.0
20190625:1810,41.75,70.41,11.9,31.55,1.72,0.0
20190625:1910,0.0,1.72,2.55,29.27,2.28,0.0
20190625:2010,0.0,0.0,0.0,27.09,2.76,0.0
20190625:2110,0.0,0.0,0.0,25.67,2.9,0.0
20190625:2210,0.0,0.0,0.0,24.62,2.9,0.0
20190625:2310,0.0,0.0,0.0,23.69,2.83,0.0
20190626:0010,0.0,0.0,0.0,22.71,2.62,0.0
20190626:0110,0.0,0.0,0.0,21.6,2.41,0.0
20190626:0210,0.0,0.0,0.0,20.59,2.34,0.0
20190626:0310,0.0,0.0,0.0,19.75,2.28,0.0
20190626:0410,0.0,0.0,0.0,19.09,2.21,0.0
20190626:0510,39.05,63.54,11.21,19.42,2.07,0.0
20190626:0610,124.37,191.11,21.2,22.7,1.79,0.0
20190626:0710,295.71,393.53,31.57,25.72,2.48,0.0
20190626:0810,463.86,601.33,42.0,27.61,3.52,0.0
20190626:0910,605.86,793.55,52.05,29.25,4.07,0.0
20190626:1010,703.36,938.21,60.87,30.73,4.21,0.0
20190626:1110,741.11,1005.47,66.68,32.05,3.93,0.0
20190626:1210,736.03,1007.87,66.91,33.23,3.66,0.0
20190626:1310,671.74,919.53,61.42,34.17,3.31,0.0
20190626:1410,580.65,788.64,52.74,34.87,3.17,0.0
20190626:1510,442.78,598.13,42.75,35.1,3.17,0.0
20190626:1610,275.83,387.32,32.33,34.95,3.03,0.0
20190626:1710,103.67,179.4,21.94,34.04,2.34,0.0
20190626:1810,38.4,66.12,11.92,32.29,1.79,0.0
20190626:1910,1.01,8.59,2.55,30.37,2.0,0.0
20190626:2010,0.0,0.0,0.0,27.58,2.14,0.0
20190626:2110,0.0,0.0,0.0,25.2,2.28,0.0
20190626:2210,0.0,0.0,0.0,23.22,2.21,0.0
20190626:2310,0.0,0.0,0.0,21.89,2.28,0.0
20190627:0010,0.0,0.0,0.0,21.09,2.41,0.0
20190627:0110,0.0,0.0,0.0,20.61,2.55,0.0
20190627:0210,0.0,0.0,0.0,20.21,2.62,0.0
20190627:0310,0.0,0.0,0.0,19.67,2.41,0.0
20190627:0410,0.0,0.0,0.0,19.03,2.14,0.0
20190627:0510,39.01,63.54,11.15,19.51,1.66,0.0
20190627:0610,122.92,190.95,21.14,22.54,1.03,0.0
20190627:0710,293.0,395.21,31.51,25.83,0.76,0.0
20190627:0810,455.97,606.84,41.94,28.16,1.1,0.0
20190627:0910,586.52,796.82,51.99,30.15,1.38,0.0
20190627:1010,671.36,937.47,60.81,31.94,1.38,0.0
20190627:1110,701.86,999.35,66.63,33.54,1.31,0.0
20190627:1210,697.2,1002.97,66.89,34.85,1.17,0.0
20190627:1310,645.96,924.14,61.42,35.84,1.1,0.0
20190627:1410,560.07,789.17,52.75,36.48,1.1,0.0
